report_date,Country,Province,lon,lat,value
2016-01-09,Mexico,Nuevo_Leon,-99.9961947,25.592172,0
2016-01-09,Mexico,Oaxaca,-96.7132304,17.0542297,0
2016-01-09,Mexico,Puebla,-98.2061996,19.0412967,0
2016-01-09,Mexico,Queretaro_de_Arteaga,-100.3898876,20.5888184,0
2016-01-09,Mexico,Quintana_Roo,-88.4791376,19.1817393,0
2016-01-09,Mexico,San_Luis_Potosi,-100.9855409,22.1564699,0
2016-01-09,Mexico,Sinaloa,-107.4795173,25.1721091,0
2016-01-09,Mexico,Sonora,-110.3308814,29.2972247,0
2016-01-09,Mexico,Tabasco,-92.6189273,17.8409173,0
2016-01-09,Mexico,Tamaulipas,-98.8362755,24.26694,0
2016-01-09,Mexico,Tlaxcala,-98.2374954,19.318154,0
2016-01-09,Mexico,Veracruz_de_Ignacio_de_la_Llave,-96.5783387,19.2601605,0
2016-01-09,Mexico,Yucatan,-89.3985283,18.806656,0
2016-01-09,Mexico,Zacatecas,-102.5832539,22.7709249,0
2016-01-16,Mexico,Aguascalientes,-102.2915677,21.8852562,0
2016-01-16,Mexico,Baja_California,-113.5000018,27.9999938,0
2016-01-16,Mexico,Baja_California_Sur,-111.6660725,26.0444446,0
2016-01-16,Mexico,Campeche,-90.2618068,18.931225,0
2016-01-16,Mexico,Chiapas,-93.1292353,16.7569318,3
2016-01-16,Mexico,Chihuahua,-106.0691004,28.6329957,0
2016-01-16,Mexico,Coahuila_de_Zaragoza,-101.7068294,27.058676,0
2016-01-16,Mexico,Colima,-104.0072348,19.1222634,0
2016-01-16,Mexico,Distrito_Federal,-99.133208,19.4326077,0
2016-01-16,Mexico,Durango,-104.6531759,24.0277202,0
2016-01-16,Mexico,Guanajuato,-101.2573586,21.0190145,0
2016-01-16,Mexico,Guerrero,-99.5450974,17.4391926,0
2016-01-16,Mexico,Hidalgo,-98.7623874,20.0910963,0
2016-01-16,Mexico,Jalisco,-103.3494376,20.6595382,0
2016-01-16,Mexico,Mexico,-99.133208,19.4326077,0
2016-01-16,Mexico,Michoacan_de_Ocampo,-101.7068294,19.5665192,0
2016-01-16,Mexico,Morelos,-99.1013498,18.6813049,0
2016-01-16,Mexico,Nayarit,-104.8454619,21.7513844,0
2016-01-16,Mexico,Nuevo_Leon,-99.9961947,25.592172,0
2016-01-16,Mexico,Oaxaca,-96.7132304,17.0542297,0
2016-01-16,Mexico,Puebla,-98.2061996,19.0412967,0
2016-01-16,Mexico,Queretaro_de_Arteaga,-100.3898876,20.5888184,0
2016-01-16,Mexico,Quintana_Roo,-88.4791376,19.1817393,0
2016-01-16,Mexico,San_Luis_Potosi,-100.9855409,22.1564699,0
2016-01-16,Mexico,Sinaloa,-107.4795173,25.1721091,0
2016-01-16,Mexico,Sonora,-110.3308814,29.2972247,0
2016-01-16,Mexico,Tabasco,-92.6189273,17.8409173,0
2016-01-16,Mexico,Tamaulipas,-98.8362755,24.26694,0
2016-01-16,Mexico,Tlaxcala,-98.2374954,19.318154,0
2016-01-16,Mexico,Veracruz_de_Ignacio_de_la_Llave,-96.5783387,19.2601605,0
2016-01-16,Mexico,Yucatan,-89.3985283,18.806656,0
2016-01-16,Mexico,Zacatecas,-102.5832539,22.7709249,0
2016-01-23,Mexico,Aguascalientes,-102.2915677,21.8852562,0
2016-01-23,Mexico,Baja_California,-113.5000018,27.9999938,0
2016-01-23,Mexico,Baja_California_Sur,-111.6660725,26.0444446,0
2016-01-23,Mexico,Campeche,-90.2618068,18.931225,0
2016-01-23,Mexico,Chiapas,-93.1292353,16.7569318,11
2016-01-23,Mexico,Chihuahua,-106.0691004,28.6329957,0
2016-01-23,Mexico,Coahuila_de_Zaragoza,-101.7068294,27.058676,0
2016-01-23,Mexico,Colima,-104.0072348,19.1222634,0
2016-01-23,Mexico,Distrito_Federal,-99.133208,19.4326077,0
2016-01-23,Mexico,Durango,-104.6531759,24.0277202,0
2016-01-23,Mexico,Guanajuato,-101.2573586,21.0190145,0
2016-01-23,Mexico,Guerrero,-99.5450974,17.4391926,0
2016-01-23,Mexico,Hidalgo,-98.7623874,20.0910963,0
2016-01-23,Mexico,Jalisco,-103.3494376,20.6595382,0
2016-01-23,Mexico,Mexico,-99.133208,19.4326077,0
2016-01-23,Mexico,Michoacan_de_Ocampo,-101.7068294,19.5665192,0
2016-01-23,Mexico,Morelos,-99.1013498,18.6813049,0
2016-01-23,Mexico,Nayarit,-104.8454619,21.7513844,0
2016-01-23,Mexico,Nuevo_Leon,-99.9961947,25.592172,0
2016-01-23,Mexico,Oaxaca,-96.7132304,17.0542297,4
2016-01-23,Mexico,Puebla,-98.2061996,19.0412967,0
2016-01-23,Mexico,Queretaro_de_Arteaga,-100.3898876,20.5888184,0
2016-01-23,Mexico,Quintana_Roo,-88.4791376,19.1817393,0
2016-01-23,Mexico,San_Luis_Potosi,-100.9855409,22.1564699,0
2016-01-23,Mexico,Sinaloa,-107.4795173,25.1721091,1
2016-01-23,Mexico,Sonora,-110.3308814,29.2972247,0
2016-01-23,Mexico,Tabasco,-92.6189273,17.8409173,0
2016-01-23,Mexico,Tamaulipas,-98.8362755,24.26694,0
2016-01-23,Mexico,Tlaxcala,-98.2374954,19.318154,0
2016-01-23,Mexico,Veracruz_de_Ignacio_de_la_Llave,-96.5783387,19.2601605,0
2016-01-23,Mexico,Yucatan,-89.3985283,18.806656,0
2016-01-23,Mexico,Zacatecas,-102.5832539,22.7709249,0
2016-01-30,Mexico,Aguascalientes,-102.2915677,21.8852562,0
2016-01-30,Mexico,Baja_California,-113.5000018,27.9999938,0
2016-01-30,Mexico,Baja_California_Sur,-111.6660725,26.0444446,0
2016-01-30,Mexico,Campeche,-90.2618068,18.931225,0
2016-01-30,Mexico,Chiapas,-93.1292353,16.7569318,11
2016-01-30,Mexico,Chihuahua,-106.0691004,28.6329957,0
2016-01-30,Mexico,Coahuila_de_Zaragoza,-101.7068294,27.058676,0
2016-01-30,Mexico,Colima,-104.0072348,19.1222634,0
2016-01-30,Mexico,Distrito_Federal,-99.133208,19.4326077,0
2016-01-30,Mexico,Durango,-104.6531759,24.0277202,0
2016-01-30,Mexico,Guanajuato,-101.2573586,21.0190145,0
2016-01-30,Mexico,Guerrero,-99.5450974,17.4391926,1
2016-01-30,Mexico,Hidalgo,-98.7623874,20.0910963,0
2016-01-30,Mexico,Jalisco,-103.3494376,20.6595382,0
2016-01-30,Mexico,Mexico,-99.133208,19.4326077,0
2016-01-30,Mexico,Michoacan_de_Ocampo,-101.7068294,19.5665192,0
2016-01-30,Mexico,Morelos,-99.1013498,18.6813049,0
2016-01-30,Mexico,Nayarit,-104.8454619,21.7513844,0
2016-01-30,Mexico,Nuevo_Leon,-99.9961947,25.592172,0
2016-01-30,Mexico,Oaxaca,-96.7132304,17.0542297,17
2016-01-30,Mexico,Puebla,-98.2061996,19.0412967,0
2016-01-30,Mexico,Queretaro_de_Arteaga,-100.3898876,20.5888184,0
2016-01-30,Mexico,Quintana_Roo,-88.4791376,19.1817393,0
2016-01-30,Mexico,San_Luis_Potosi,-100.9855409,22.1564699,0
2016-01-30,Mexico,Sinaloa,-107.4795173,25.1721091,0
2016-01-30,Mexico,Sonora,-110.3308814,29.2972247,0
2016-01-30,Mexico,Tabasco,-92.6189273,17.8409173,0
2016-01-30,Mexico,Tamaulipas,-98.8362755,24.26694,0
2016-01-30,Mexico,Tlaxcala,-98.2374954,19.318154,0
2016-01-30,Mexico,Veracruz_de_Ignacio_de_la_Llave,-96.5783387,19.2601605,1
2016-01-30,Mexico,Yucatan,-89.3985283,18.806656,1
2016-01-30,Mexico,Zacatecas,-102.5832539,22.7709249,0
2016-02-03,Haiti,Artibonite,-72.4258145,19.362902,53
2016-02-03,Haiti,Centre,-72.0468164,18.9582742,32
2016-02-03,Haiti,Grande_Anse,-74.07701,18.5489259,6
2016-02-03,Haiti,Nippes,-73.4180211,18.3990735,8
2016-02-03,Haiti,Nord,-72.189,19.5687715,29
2016-02-03,Haiti,Nord_Est,-71.8571331,19.4889723,4
2016-02-03,Haiti,Nord_Ouest,-73.0405277,19.8374009,3
2016-02-03,Haiti,Ouest,-72.4731529,18.4957015,56
2016-02-03,Haiti,Sud,-73.7007088,18.3320005,8
2016-02-03,Haiti,Sud_Est,-72.3547915,18.2783598,5
2016-02-06,Mexico,Aguascalientes,-102.2915677,21.8852562,0
2016-02-06,Mexico,Baja_California,-113.5000018,27.9999938,0
2016-02-06,Mexico,Baja_California_Sur,-111.6660725,26.0444446,0
2016-02-06,Mexico,Campeche,-90.2618068,18.931225,0
2016-02-06,Mexico,Chiapas,-93.1292353,16.7569318,10
2016-02-06,Mexico,Chihuahua,-106.0691004,28.6329957,0
2016-02-06,Mexico,Coahuila_de_Zaragoza,-101.7068294,27.058676,0
2016-02-06,Mexico,Colima,-104.0072348,19.1222634,0
2016-02-06,Mexico,Distrito_Federal,-99.133208,19.4326077,0
2016-02-06,Mexico,Durango,-104.6531759,24.0277202,0
2016-02-06,Mexico,Guanajuato,-101.2573586,21.0190145,0
2016-02-06,Mexico,Guerrero,-99.5450974,17.4391926,1
2016-02-06,Mexico,Hidalgo,-98.7623874,20.0910963,0
2016-02-06,Mexico,Jalisco,-103.3494376,20.6595382,0
2016-02-06,Mexico,Mexico,-99.133208,19.4326077,0
2016-02-06,Mexico,Michoacan_de_Ocampo,-101.7068294,19.5665192,0
2016-02-06,Mexico,Morelos,-99.1013498,18.6813049,0
2016-02-06,Mexico,Nayarit,-104.8454619,21.7513844,0
2016-02-06,Mexico,Nuevo_Leon,-99.9961947,25.592172,0
2016-02-06,Mexico,Oaxaca,-96.7132304,17.0542297,4
2016-02-06,Mexico,Puebla,-98.2061996,19.0412967,0
2016-02-06,Mexico,Queretaro_de_Arteaga,-100.3898876,20.5888184,0
2016-02-06,Mexico,Quintana_Roo,-88.4791376,19.1817393,0
2016-02-06,Mexico,San_Luis_Potosi,-100.9855409,22.1564699,0
2016-02-06,Mexico,Sinaloa,-107.4795173,25.1721091,0
2016-02-06,Mexico,Sonora,-110.3308814,29.2972247,0
2016-02-06,Mexico,Tabasco,-92.6189273,17.8409173,0
2016-02-06,Mexico,Tamaulipas,-98.8362755,24.26694,0
2016-02-06,Mexico,Tlaxcala,-98.2374954,19.318154,0
2016-02-06,Mexico,Veracruz_de_Ignacio_de_la_Llave,-96.5783387,19.2601605,0
2016-02-06,Mexico,Yucatan,-89.3985283,18.806656,0
2016-02-06,Mexico,Zacatecas,-102.5832539,22.7709249,0
2016-02-13,Mexico,Aguascalientes,-102.2915677,21.8852562,0
2016-02-13,Mexico,Baja_California,-113.5000018,27.9999938,0
2016-02-13,Mexico,Baja_California_Sur,-111.6660725,26.0444446,0
2016-02-13,Mexico,Campeche,-90.2618068,18.931225,0
2016-02-13,Mexico,Chiapas,-93.1292353,16.7569318,9
2016-02-13,Mexico,Chihuahua,-106.0691004,28.6329957,0
2016-02-13,Mexico,Coahuila_de_Zaragoza,-101.7068294,27.058676,0
2016-02-13,Mexico,Colima,-104.0072348,19.1222634,0
2016-02-13,Mexico,Distrito_Federal,-99.133208,19.4326077,0
2016-02-13,Mexico,Durango,-104.6531759,24.0277202,0
2016-02-13,Mexico,Guanajuato,-101.2573586,21.0190145,0
2016-02-13,Mexico,Guerrero,-99.5450974,17.4391926,1
2016-02-13,Mexico,Hidalgo,-98.7623874,20.0910963,0
2016-02-13,Mexico,Jalisco,-103.3494376,20.6595382,0
2016-02-13,Mexico,Mexico,-99.133208,19.4326077,0
2016-02-13,Mexico,Michoacan_de_Ocampo,-101.7068294,19.5665192,1
2016-02-13,Mexico,Morelos,-99.1013498,18.6813049,0
2016-02-13,Mexico,Nayarit,-104.8454619,21.7513844,0
2016-02-13,Mexico,Nuevo_Leon,-99.9961947,25.592172,0
2016-02-13,Mexico,Oaxaca,-96.7132304,17.0542297,2
2016-02-13,Mexico,Puebla,-98.2061996,19.0412967,0
2016-02-13,Mexico,Queretaro_de_Arteaga,-100.3898876,20.5888184,0
2016-02-13,Mexico,Quintana_Roo,-88.4791376,19.1817393,0
2016-02-13,Mexico,San_Luis_Potosi,-100.9855409,22.1564699,0
2016-02-13,Mexico,Sinaloa,-107.4795173,25.1721091,0
2016-02-13,Mexico,Sonora,-110.3308814,29.2972247,0
2016-02-13,Mexico,Tabasco,-92.6189273,17.8409173,0
2016-02-13,Mexico,Tamaulipas,-98.8362755,24.26694,0
2016-02-13,Mexico,Tlaxcala,-98.2374954,19.318154,0
2016-02-13,Mexico,Veracruz_de_Ignacio_de_la_Llave,-96.5783387,19.2601605,0
2016-02-13,Mexico,Yucatan,-89.3985283,18.806656,0
2016-02-13,Mexico,Zacatecas,-102.5832539,22.7709249,0
2016-02-20,Mexico,Aguascalientes,-102.2915677,21.8852562,0
2016-02-20,Mexico,Baja_California,-113.5000018,27.9999938,0
2016-02-20,Mexico,Baja_California_Sur,-111.6660725,26.0444446,0
2016-02-20,Mexico,Campeche,-90.2618068,18.931225,0
