Province,Country,lon,lat
Piaui,Brazil,-42.7289236,-7.7183401
Puebla,Mexico,-98.2061996,19.0412967
Puerto_Rico,United_States,-66.590149,18.220833
Putumayo,Colombia,-76.5286134285714,0.764880192857143
Queretaro_de_Arteaga,Mexico,-100.3898876,20.5888184
Quindio,Colombia,-75.6980724461538,4.49190396153846
Quintana_Roo,Mexico,-88.4791376,19.1817393
Rhode_Island,United_States,-71.4774291,41.5800945
Rio_de_Janeiro,Brazil,-43.1728965,-22.9068467
Rio_Grande_do_Norte,Brazil,-36.954107,-5.4025803
Rio_Grande_do_Sul,Brazil,-51.2176986,-30.0346316
Rio_Negro,Argentina,-63.0266339,-40.8261434
Risaralda,Colombia,-75.8515913933333,5.07789048666667
Rondonia,Brazil,-63.580611,-11.5057341
Roraima,Brazil,-62.0750998,2.7375971
Salta,Argentina,-65.4231976,-24.7821269
San_Andres,Colombia,-81.7112275666667,12.548921
San_Cristobal,Dominican_Republic,-70.1065849,18.4180414
San_Juan,Argentina,-68.5385941,-31.5351074
San_Luis,Argentina,-66.3377522,-33.3017267
San_Luis_Potosi,Mexico,-100.9855409,22.1564699
San_Pedro_de_Macoris,Dominican_Republic,-69.2996732,18.4720698
Santa_Catarina,Brazil,-50.2188556,-27.2423392
Santa_Cruz,Argentina,-69.2474353,-51.6352821
Santa_Fe,Argentina,-60.697294,-31.6106578
Santander,Colombia,-73.2624507137931,6.56010979425287
Sao_Paulo,Brazil,-46.6333094,-23.5505199
Sergipe,Brazil,-37.3856581,-10.5740934
Sgo_Del_Estero,Argentina,-64.264167,-27.7833574
Sinaloa,Mexico,-107.4795173,25.1721091
Sonora,Mexico,-110.3308814,29.2972247
South_Carolina,United_States,-81.1637245,33.836081
Sta_Marta_D_E_,Colombia,-74.2110227,11.2403547
Sucre,Colombia,-75.1760844740741,9.15592267777778
Sud,Haiti,-73.7007088,18.3320005
Sud_Est,Haiti,-72.3547915,18.2783598
Tabasco,Mexico,-92.6189273,17.8409173
Tamaulipas,Mexico,-98.8362755,24.26694
Tennessee,United_States,-86.5804473,35.5174913
Texas,United_States,-99.9018131,31.9685988
Tierra_del_Fuego,Argentina,-68.3242061,-54.8053998
Tierra_Del_Fuego,Argentina,-68.3242061,-54.8053998
Tlaxcala,Mexico,-98.2374954,19.318154
Tocantins,Brazil,-48.2982474,-10.17528
Tolima,Colombia,-75.0610306166667,4.29633917708333
Tucuman,Argentina,-65.2175903,-26.8082848
US_Virgin_Islands,United_States,-74.2320285,39.9553126
Utah,United_States,-111.0937311,39.3209801
Valle_Del_Cauca,Colombia,-76.2494261348837,4.10572254186047
Vaupes,Colombia,-70.4462,0.718180042857143
Veracruz_de_Ignacio_de_la_Llave,Mexico,-96.5783387,19.2601605
Vermont,United_States,-72.5778415,44.5588028
Vichada,Colombia,-69.56979428,5.13538784
Virginia,United_States,-78.6568942,37.4315734
Washington,United_States,-120.7401386,47.7510741
West_Virginia,United_States,-80.4549026,38.5976262
Wisconsin,United_States,-88.7878678,43.7844397
Yucatan,Mexico,-89.3985283,18.806656
Zacatecas,Mexico,-102.5832539,22.7709249
